algoritmo,dim,max_fes,funcion,mean,median,std
de,10,500000,8,16.645314059925344,0.2970387789691813,54.97533308050694
de,10,500000,9,243.13712520607808,361.44471437409766,175.59366045204328
de,10,500000,10,15.956096168403203,0.0,48.69538696635991
de,10,500000,11,12.007501857136049,11.453204587647178,8.105455305408563
de,10,500000,12,157.39148225309805,158.08748562429582,5.7608403036778935
de,10,5000000,1,1.8131964483653513,4.927453971959039e-06,8.558563714377357
de,10,5000000,2,8.676382524230915,8.916452060195866,8.740839314504369
de,10,5000000,3,0.0002874916288834249,2.6147972675971687e-12,0.0019208921446496252
de,10,5000000,4,9.781346656197474,10.002962793383404,1.9358362837991274
de,10,5000000,5,0.0005250004590326332,4.8477738232577394e-05,0.001463498021580024
de,10,5000000,6,2459.867690029148,1691.9243090227492,3012.5833146390146
de,10,5000000,7,8.467593500084078,1.0022248058614878,9.876286904529866
de,10,5000000,8,16.337353992923212,0.08100532777916669,54.99007520750702
de,10,5000000,9,243.13712520607808,361.44471437409766,175.59366045204328
de,10,5000000,10,15.956096168403203,0.0,48.69538696635991
de,10,5000000,11,12.007501857136049,11.453204587647178,8.105455305408563
de,10,5000000,12,157.3892592409334,158.08748562429582,5.765432919400182
de,20,5000,1,9333.874888816223,8708.478423426033,2617.000058064111
de,20,5000,2,73.04616164231665,64.10072800029661,20.713896416747808
de,20,5000,3,0.0011065123866541506,2.75100002227191e-05,0.002842207164880751
de,20,5000,4,238.888355368178,236.97157281219938,28.291424848330617
de,20,5000,5,0.45801817471773326,0.40188089782725456,0.27814492071877933
de,20,5000,6,74541230.7015149,67250202.16844223,36031819.68975205
de,20,5000,7,184.8255654856241,210.73375092958258,112.99186588119657
de,20,5000,8,96156.37745857936,22526.23255929408,189012.907626602
de,20,5000,9,400.0279552206376,397.65585422880486,23.932361160077477
de,20,5000,10,816.1718046338455,697.6198100832171,406.9910642040277
de,20,5000,11,37.776055962453825,24.351711249681102,52.3286532779503
de,20,5000,12,253.76590661833427,249.82560095358713,12.744994688812977
de,20,50000,1,43.39925255636494,6.157145670268562,96.84245874767892
de,20,50000,2,64.35158388365497,58.12193632728179,15.098134136681784
de,20,50000,3,0.001080475574502659,1.939259414029948e-05,0.0028158618074421737
